2026-06-25 23:38:47 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying macd (mode=train) with args=[], kwargs={'fast': 12, 'slow': 26, 'signal': 9}
2026-06-25 23:38:47 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling macd_batch_df with filtered kwargs: {'fast': 12, 'slow': 26, 'signal': 9, 'close_col': 'H1_close', 'macd_col': 'macd', 'signal_col': 'macd_signal', 'hist_col': 'macd_hist', 'add_para_to_names': False}
2026-06-25 23:38:48 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying mfi (mode=train) with args=[], kwargs={'period': 14}
2026-06-25 23:38:48 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling mfi_batch_df with filtered kwargs: {'high_col': 'H1_high', 'low_col': 'H1_low', 'close_col': 'H1_close', 'volume_col': 'H1_volume', 'n': 14, 'min_periods': -1, 'result_col': 'mfi', 'add_para_to_names': False}
2026-06-25 23:38:48 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying obv (mode=train) with args=[], kwargs={}
2026-06-25 23:38:48 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling obv_batch_df with filtered kwargs: {'close_col': 'H1_close', 'volume_col': 'H1_volume', 'result_col': 'obv', 'add_para_to_names': False}
2026-06-25 23:38:48 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying parabolic_sar (mode=train) with args=[], kwargs={'step': 0.02, 'max_step': 0.02, 'acceleration': 0.2}
2026-06-25 23:38:48 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling parabolicsar_batch_df with filtered kwargs: {'high_col': 'H1_high', 'low_col': 'H1_low', 'af_start': 0.02, 'af_step': 0.02, 'af_max': 0.2, 'result_col': 'psar', 'add_para_to_names': False}
2026-06-25 23:38:49 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying roc (mode=train) with args=[], kwargs={'column': 'close', 'period': 14}
2026-06-25 23:38:49 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling roc_batch_df with filtered kwargs: {'column': 'H4_close', 'period': 14, 'result_col': 'roc', 'add_para_to_names': False}
2026-06-25 23:38:49 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying rsi (mode=train) with args=[], kwargs={'period': 14}
2026-06-25 23:38:49 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling rsi_batch_df with filtered kwargs: {'period': 14, 'column': 'H1_close', 'method': 'ema', 'result_col': 'rsi', 'add_para_to_names': False}
2026-06-25 23:38:50 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying sma (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
