open,high,low,close,volume,spread,real_volume,sma_close_20_core,ema_close_20_core,wma_close_20_core,rsi_14_core,roc_10_core,atr_14_core,macd_12_26_9_core,macd_signal_12_26_9_core,macd_hist_12_26_9_core,bb_mid_20_2.0_core,bb_up_20_2.0_core,bb_lo_20_2.0_core,kelt_mid_20_2.0_core,kelt_up_20_2.0_core,kelt_lo_20_2.0_core,stoch_k_14_3_core,stoch_d_14_3_core,cci_20_core,mfi_14_core,obv_core,wr_14_core,sar_0.02_0.02_0.2_core,ha_open_core,ha_high_core,ha_low_core,ha_close_core,tr_core
3856.94,3862.43,3847.48,3858.5,7695,14,0,3861.814,3859.3984,3857.8481,50.71915,0.48674282,11.999922,-2.7859628,-2.9772153,0.19125247,3861.814,3892.3953,3831.2327,3859.3984,3883.268,3835.5288,50.37208,51.38568,-33.154667,51.780712,23069.0,-49.62792,3873.216,3858.446,3862.43,3847.48,3856.3374,14.949951
3858.49,3859.22,3847.67,3848.03,5843,14,0,3860.8296,3858.3157,3856.5354,38.9326,0.51012146,11.967788,-3.3415449,-3.050081,-0.29146385,3860.8296,3891.8516,3829.8076,3858.3157,3882.1467,3834.4846,36.93867,45.274143,-52.33589,45.79632,17226.0,-63.06133,3871.0571,3857.3918,3859.22,3847.67,3853.3525,11.550049
3848.05,3851.01,3837.97,3842.83,6739,14,0,3859.754,3856.8408,3854.821,34.357124,-0.048898358,12.044377,-4.1535645,-3.2707777,-0.88278675,3859.754,3891.6924,3827.8154,3856.8408,3880.7844,3832.8972,30.266872,39.192543,-83.276596,37.686115,10487.0,-69.73313,3868.9844,3855.372,3855.372,3837.97,3844.965,13.040039
3842.83,3848.42,3841.47,3843.89,4979,14,0,3858.526,3855.6074,3853.3103,36.122833,-0.013526132,11.68049,-4.65787,-3.548196,-1.1096737,3858.526,3890.9177,3826.134,3855.6074,3879.0488,3832.166,42.81744,36.674328,-70.23855,45.266083,15466.0,-57.18256,3866.9946,3850.1685,3850.1685,3841.47,3844.1526,6.949951
3843.89,3859.04,3843.8,3855.26,6648,12,0,3857.5496,3855.5745,3852.9993,52.0771,0.109580785,11.93474,-4.0928907,-3.657135,-0.43575573,3857.5496,3889.0876,3826.0115,3855.5745,3879.3677,3831.7812,81.07135,51.38522,-25.287518,55.593933,22114.0,-18.928652,3865.0845,3847.1606,3859.04,3843.8,3850.4976,15.23999
3855.25,3861.18,3850.95,3859.31,6729,10,0,3856.567,3855.9302,3853.1667,56.538567,0.10037765,11.812971,-3.2805243,-3.5818129,0.3012886,3856.567,3886.5625,3826.5713,3855.9302,3879.557,3832.3035,87.97241,70.6204,1.9399571,66.920006,28843.0,-12.027586,3863.2507,3848.829,3861.18,3848.829,3856.6726,10.22998
3859.47,3865.36,3856.96,3864.36,6963,10,0,3855.6975,3856.733,3853.909,61.67228,0.23500116,11.569199,-2.2038207,-3.3062146,1.1023939,3855.6975,3883.662,3827.733,3856.733,3880.018,3833.4478,96.34903,88.464264,33.939205,65.64978,35806.0,-3.6509676,3819.24,3852.7507,3865.36,3852.7507,3861.5376,8.4001465
3864.36,3865.76,3860.18,3864.68,6461,10,0,3854.619,3857.4897,3854.7644,62.00046,0.19314378,11.141404,-1.3096076,-2.906893,1.5972854,3854.619,3879.2524,3829.9854,3857.4897,3880.1687,3834.8108,96.11371,93.478386,47.99277,64.83333,42267.0,-3.88629,3820.1624,3857.144,3865.76,3857.144,3863.745,5.580078
3864.68,3864.84,3857.14,3864.1,6447,10,0,3853.6096,3858.1194,3855.6675,60.909744,0.04608629,10.895603,-0.6403569,-2.4535859,1.813229,3853.6096,3874.696,3832.5232,3858.1194,3880.4346,3835.8042,94.02663,95.49645,47.831078,56.950443,35820.0,-5.9733715,3821.9863,3860.4446,3864.84,3857.14,3862.69,7.7001953
3864.12,3867.68,3862.04,3865.98,6866,10,0,3853.1375,3858.868,3856.8457,63.322926,0.2315241,10.520195,0.04125386,-1.954618,1.9958718,3853.1375,3872.6108,3833.664,3858.868,3880.6313,3837.1045,94.27802,94.80612,71.0564,56.5985,42686.0,-5.721979,3823.7373,3861.5674,3867.68,3861.5674,3864.955,5.6398926
3866.0,3867.18,3854.71,3862.2,8575,9,0,3854.257,3859.1853,3857.7087,55.38998,0.09589218,10.659465,0.2732708,-1.5090402,1.782311,3854.257,3873.101,3835.413,3859.1853,3881.1074,3837.2632,81.55503,89.953224,47.579235,49.42963,34111.0,-18.444967,3826.3738,3863.2612,3867.18,3854.71,3862.5225,12.469971
3862.2,3875.04,3860.42,3873.73,9271,9,0,3856.5186,3860.5706,3859.5632,69.04058,0.6678742,10.9423685,1.3717083,-0.9328905,2.3045988,3856.5186,3873.1858,3839.8513,3860.5706,3882.8586,3838.2825,96.46615,90.7664,95.9574,56.049156,43382.0,-3.533855,3828.8523,3862.8918,3875.04,3860.42,3867.8474,14.620117
3874.2,3890.68,3870.2,3882.56,11407,9,0,3858.4111,3862.6648,3862.0435,75.63008,1.0338734,11.623627,2.921063,-0.16209981,3.0831628,3858.4111,3877.678,3839.1443,3862.6648,3885.8865,3839.443,84.594955,87.53871,160.76973,59.375126,54789.0,-15.405046,3832.547,3865.3696,3890.68,3865.3696,3879.41,20.47998
3883.31,3885.89,3866.49,3879.52,12157,9,0,3860.1665,3864.27,3864.0537,69.73398,0.9269256,12.179075,3.8591492,0.64215,3.2169993,3860.1665,3880.3853,3839.9478,3864.27,3888.2705,3840.2695,78.827545,86.62955,124.56751,55.578876,42632.0,-21.172453,3838.3606,3872.39,3885.89,3866.49,3878.8025,19.399902
3879.72,3891.52,3874.05,3889.29,10633,9,0,3862.079,3866.6528,3866.8274,76.521484,0.88269013,12.556996,5.3295116,1.5796224,3.7498894,3862.079,3885.4702,3838.688,3866.6528,3891.2004,3842.1052,95.83567,86.41939,157.50893,63.794006,53265.0,-4.1643324,3843.5925,3875.5962,3891.52,3874.05,3883.645,17.46997
3889.47,3889.67,3880.43,3883.59,8616,11,0,3863.4866,3868.2659,3868.8762,66.4845,0.629128,12.320067,5.9660687,2.4569116,3.5091572,3863.4866,3888.4456,3838.5276,3868.2659,3892.51,3844.0217,85.19141,86.61821,136.0062,62.186363,44649.0,-14.80859,3849.3438,3879.6206,3889.67,3879.6206,3885.79,9.23999
3883.62,3886.03,3876.86,3881.83,8822,11,0,3864.813,3869.5579,3870.623,63.51631,0.45208004,12.095057,6.2564073,3.2168107,3.0395966,3864.813,3890.6936,3838.9324,3869.5579,3893.5068,3845.609,80.63936,87.222145,104.59563,61.016884,35827.0,-19.36064,3854.4048,3882.7053,3886.03,3876.86,3882.085,9.169922
3881.9,3889.31,3879.87,3886.22,8068,11,0,3866.2625,3871.1448,3872.6619,67.67036,0.55735534,11.905406,6.762782,3.9260051,2.836777,3866.2625,3893.494,3839.031,3871.1448,3894.8403,3847.4492,88.89355,84.908104,110.66425,62.060978,43895.0,-11.106454,3858.8586,3882.3953,3889.31,3879.87,3884.325,9.439941
3886.2,3889.05,3883.76,3885.8,7167,11,0,3867.4365,3872.5405,3874.5227,66.83036,0.56157964,11.432879,7.0489416,4.5505924,2.4983492,3867.4365,3895.8843,3838.9888,3872.5405,3895.5803,3849.5007,85.90091,85.14461,101.98241,62.24656,36728.0,-14.099088,3862.778,3883.36,3889.05,3883.36,3886.2024,5.290039
3885.67,3887.16,3882.83,3886.61,3232,19,0,3868.9146,3873.8804,3876.3486,67.72196,0.53362924,10.925519,7.2574263,5.091959,2.1654673,3868.9146,3898.1118,3839.7173,3873.8804,3896.2012,3851.5596,86.66123,87.15189,86.84035,58.2832,39960.0,-13.338767,3866.227,3884.7812,3887.16,3882.83,3885.5674,4.329834
3888.28,3902.91,3884.17,3899.76,5956,19,0,3870.9775,3876.3452,3879.2864,78.53172,0.9725027,11.483696,8.387066,5.7509804,2.6360855,3870.9775,3902.6643,3839.2908,3876.3452,3899.4238,3853.2666,93.46473,88.67562,117.927795,57.933926,45916.0,-6.5352697,3869.2622,3885.1743,3902.91,3884.17,3893.78,18.73999
3899.77,3920.37,3898.33,3909.66,8619,14,0,3874.059,3879.518,3882.9705,83.36973,0.9275298,12.2377205,9.966275,6.5940394,3.3722358,3874.059,3908.1182,3840.0,3879.518,3903.6467,3855.3894,83.6887,87.93822,153.60448,58.7512,54535.0,-16.3113,3873.973,3889.4773,3920.37,3889.4773,3907.0325,22.04004
3909.67,3910.17,3898.91,3900.22,9228,14,0,3876.9285,3881.4895,3885.462,66.805664,0.45485452,12.167884,10.336925,7.3426166,2.994308,3876.9285,3909.6228,3844.2341,3881.4895,3905.5378,3857.4412,69.31161,82.155014,110.72899,57.332977,45307.0,-30.688395,3881.3965,3898.255,3910.17,3898.255,3904.7424,11.26001
3900.25,3918.18,3899.78,3917.87,7924,14,0,3880.6274,3884.9543,3889.361,76.76486,0.9885244,12.613028,11.917496,8.257592,3.6599035,3880.6274,3914.2595,3846.9954,3884.9543,3909.6401,3860.2686,96.192505,83.06427,125.69837,57.742096,53231.0,-3.8074932,3887.6323,3901.4988,3918.18,3899.78,3909.02,18.399902
3917.85,3924.71,3917.47,3920.87,6907,14,0,3883.908,3888.375,3893.1936,78.056076,0.8119734,12.229239,13.259339,9.257941,4.001398,3883.908,3919.7307,3848.0852,3888.375,3912.5505,3864.1995,94.02706,86.51039,134.40869,64.39998,60138.0,-5.972935,3892.8704,3905.2593,3924.71,3905.2593,3920.225,7.23999
3920.83,3931.86,3919.82,3929.43,7010,14,0,3887.414,3892.285,3897.529,81.449974,1.1803511,12.215725,14.842387,10.374831,4.467556,3887.414,3926.4978,3848.3303,3892.285,3916.4558,3868.114,96.2827,95.500755,129.43243,63.740623,67148.0,-3.7173016,3898.6013,3912.7422,3931.86,3912.7422,3925.485,12.040039
3929.47,3940.29,3928.62,3938.53,7510,14,0,3891.1226,3896.6892,3902.3972,84.408,1.4606513,12.176739,16.639448,11.627754,5.011694,3891.1226,3934.5828,3847.6624,3896.6892,3920.8184,3872.56,97.61517,95.974976,132.97446,62.51692,74658.0,-2.3848238,3905.2532,3919.1135,3940.29,3919.1135,3934.2275,11.669922
